Ürün Adı,Adet,min_date,max_date,date_diff,olumlu_sayi,olumsuz_sayi
Trendyol Curve Siyah Düz Kruvaze Dokuma Elbise TBBSS23AH00254,200,2023-05-16,2024-12-15,579,170,30
TRENDYOLMİLLA Açık Mavi Cep Detaylı Oversize Mini Denim Gömlek Elbise TWOSS22EL3022,199,2022-04-15,2024-11-23,953,161,38
TRENDYOLMİLLA Lacivert Düğme Detaylı Gabardin Mini Dokuma Gömlek Elbise TWOSS22EL2970,198,2022-07-07,2024-09-06,792,165,33
TRENDYOLMİLLA Siyah Bodycone Sıfır Kol Yırtmaçlı Fırfır Detaylı Esnek Kalın Sandy Maxi Kalem Elbise TWOSS24EL00688,198,2024-03-31,2025-03-08,342,184,14
TRENDYOLMİLLA Camel Leopar Desenli Kruvaze Yırtmaç Detaylı Maxi Dokuma Elbise TWOSS23EL01892,196,2023-06-13,2024-09-01,446,190,6
TRENDYOLMİLLA Mint Düz Kesim Cepli Gömlek Yaka Keten Görünümlü Mini Dokuma Elbise TWOSS22EL1068,195,2022-03-15,2024-10-10,940,177,18
TRENDYOLMİLLA Beyaz A Kesim Yaka Detaylı Brode Mini Astarlı Dokuma Elbise TWOSS21EL2089,195,2022-04-07,2025-03-09,1067,170,25
TRENDYOLMİLLA Ekru Kruvaze Mini Dokuma Elbise TWOSS23EL00113,195,2023-01-25,2025-03-09,774,172,23
TRENDYOLMİLLA Siyah A-Kesim Dokuma Kısa Şık Abiye Elbise TPRSS23EL00031,195,2023-01-18,2024-10-30,651,156,39
TRENDYOLMİLLA Kırmızı Shift/Düz Kesim Dik Yaka Midi Dokuma Elbise TWOSS20EL1864,194,2022-06-13,2024-08-22,801,172,22
TRENDYOLMİLLA Siyah Krep Vücuda Oturan Askılı Cut Out Detaylı Volanlı Kalp Yaka Mini Örme Elbise TWOSS23EL02097,194,2023-04-28,2024-08-30,490,162,32
TRENDYOLMİLLA Siyah Kruvaze Yaka A-Line Krep Mini Smart Örme Elbise TWOSS23EL01703,194,2023-04-16,2025-03-10,694,145,49
TRENDYOLMİLLA Çiçek Desenli Mini Dokuma Cut Out/Pencere Plaj Elbisesi TBESS21EL1054,192,2022-03-26,2024-07-09,836,163,29
TRENDYOLMİLLA Sarı Çiçek Desenli A-Kesim Kat Kat Mini Astarlı Şifon Dokuma Elbise TWOSS23EL02056,192,2023-05-08,2024-11-24,566,174,18
TRENDYOLMİLLA Lacivert Düz Kesim Cepli Gömlek Yaka Keten Görünümlü Mini Dokuma Elbise TWOSS22EL1068,191,2022-03-21,2024-08-22,885,173,18
TRENDYOLMİLLA Yeşil Çizgili Maxi Örme Dokulu Aksesuarlı Plaj Elbisesi TBESS23EL00066,190,2023-04-13,2025-03-05,692,176,14
TRENDYOLMİLLA Siyah Vücuda Oturan Astarlı Korse Detaylı Örme Kısa Şık Abiye Elbise TPRSS23EL00174,190,2023-02-03,2024-11-23,659,154,36
TRENDYOLMİLLA Mor Düz Kesim Kolsuz Bisiklet Yaka Mini Dokuma Elbise TWOSS19FG0063,190,2022-03-12,2025-02-26,1082,156,34
